<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210222,000000,137.7500000,138.3300000,136.2600000,137.7200000,448660
20210223,000000,136.8700000,137.3400000,135.0600000,135.4400000,454436
20210224,000000,135.8900000,136.0900000,133.0600000,133.2200000,671746
20210225,000000,133.0300000,134.0000000,131.5000000,131.9800000,549890
20210226,000000,131.6600000,131.7300000,129.9500000,129.9500000,607916
20210301,000000,131.7400000,132.5600000,131.1300000,131.3800000,654831
20210302,000000,131.7500000,132.7200000,130.0200000,130.1000000,462013
20210303,000000,129.7500000,129.8700000,127.5700000,127.5700000,555988
20210304,000000,127.8200000,129.5800000,126.3100000,127.5000000,656164
20210305,000000,126.8400000,129.7300000,126.8400000,129.1000000,559954
20210308,000000,129.2000000,129.7800000,127.8500000,127.8500000,645327
20210309,000000,128.8100000,129.8400000,128.3300000,128.8600000,513481
20210310,000000,128.8900000,133.0400000,128.5000000,132.1800000,704368
20210311,000000,133.3000000,133.3000000,131.5300000,132.1500000,493835
20210312,000000,132.4900000,134.5100000,132.1300000,134.0900000,346605
20210315,000000,134.4600000,134.7400000,132.8400000,133.4300000,306435
20210316,000000,133.1400000,134.2700000,133.1400000,133.4000000,217940
20210317,000000,132.5900000,133.1100000,132.0000000,132.2600000,375218
20210318,000000,131.1400000,131.9100000,129.9400000,129.9900000,351422
20210319,000000,130.2600000,132.4700000,129.9000000,131.8100000,514980
20210322,000000,131.2400000,132.4500000,131.2400000,132.3600000,352717
20210323,000000,132.0600000,134.3000000,131.6600000,133.9800000,413750
20210324,000000,134.2000000,134.2300000,133.1000000,133.1300000,278062
20210325,000000,133.0400000,134.5300000,132.8800000,134.0000000,385337
20210326,000000,133.9600000,135.1900000,133.4300000,135.0600000,495880
20210329,000000,135.0000000,137.0000000,134.6500000,136.6400000,510791
20210330,000000,136.3300000,137.5800000,135.4800000,135.7300000,379522
20210331,000000,135.6900000,136.8500000,135.0000000,135.8300000,321463
20210401,000000,136.1000000,136.8700000,135.3450000,135.5500000,381611
20210405,000000,136.6500000,140.1500000,136.6100000,139.4200000,641105
20210406,000000,139.0900000,140.9300000,138.5400000,140.0800000,403118
20210407,000000,140.3400000,140.7200000,139.6700000,139.8100000,257856
20210408,000000,140.4400000,141.1200000,139.6600000,139.7000000,227609
20210409,000000,139.6500000,140.0800000,138.7150000,139.7500000,349399
20210412,000000,140.0750000,140.3800000,139.3600000,139.8000000,196235
20210413,000000,139.9400000,139.9600000,138.8900000,139.4000000,191864
20210414,000000,139.2900000,139.3700000,138.4200000,139.3400000,310843
20210415,000000,139.4100000,140.4700000,139.2450000,140.2000000,289647
20210416,000000,140.8900000,140.9500000,139.7200000,140.5300000,311263
20210419,000000,140.2200000,140.4900000,139.6200000,139.7300000,244424
20210420,000000,139.4200000,141.7700000,138.8300000,140.7800000,289041
20210421,000000,140.7700000,141.7000000,140.6900000,141.1700000,217953
20210422,000000,141.1200000,141.4200000,139.4500000,139.6400000,276749
20210423,000000,139.2300000,140.3400000,139.2300000,139.9400000,277925
20210426,000000,140.0000000,140.0000000,137.6500000,137.9500000,327856
20210427,000000,138.0000000,138.9300000,137.5600000,138.3800000,198985
20210428,000000,138.4500000,138.5600000,137.8700000,137.8900000,179033
20210429,000000,138.1700000,139.9800000,138.1700000,139.6100000,242117
20210430,000000,139.6300000,139.9900000,139.1100000,139.9200000,240471
20210503,000000,139.8100000,142.7200000,139.8100000,142.1500000,434377
20210504,000000,141.3800000,142.0000000,140.1200000,140.7100000,199945
20210505,000000,140.8700000,141.1900000,140.2800000,140.6100000,204667
20210506,000000,140.0600000,141.3500000,139.4700000,141.0800000,187685
20210507,000000,141.7100000,141.7100000,139.3200000,140.2000000,335326
20210510,000000,140.3900000,142.0800000,140.3300000,140.8400000,231589
20210511,000000,140.7200000,140.7700000,138.3300000,139.5400000,291371
20210512,000000,138.8300000,138.8300000,135.9100000,135.9400000,294509
20210513,000000,136.2400000,138.9700000,135.7800000,138.2400000,303791
20210514,000000,138.7700000,140.2100000,138.4400000,139.5100000,168445
20210517,000000,139.8700000,140.4000000,138.7800000,138.9400000,237636
