<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210316,000000,72.9475000,73.0625000,72.5300000,72.8500000,3431599000
20210317,000000,72.9300000,74.2200000,72.8875000,73.6400000,5283378000
20210318,000000,73.6050000,74.4025000,73.4300000,74.3025000,4142429000
20210319,000000,74.3025000,74.4800000,73.7400000,74.1150000,4249589000
20210322,000000,74.3750000,75.0975000,74.1750000,74.9400000,3711068000
20210323,000000,74.9800000,76.4000000,74.9150000,76.3900000,5014872000
20210324,000000,76.2550000,76.9800000,75.6950000,76.5775000,4412314000
20210325,000000,76.0000000,76.6450000,75.7350000,76.2100000,3535241000
20210326,000000,76.0475000,76.2000000,75.5950000,75.6550000,3127450000
20210329,000000,75.7200000,76.1150000,75.5525000,75.6800000,2293707000
20210330,000000,75.5750000,76.1900000,75.3900000,75.8500000,3024296000
20210331,000000,75.8500000,76.0100000,75.2200000,75.6900000,2975438000
20210401,000000,75.6900000,76.4400000,75.5675000,76.2575000,2965661000
20210402,000000,76.2000000,76.5525000,75.9250000,76.5525000,1236252000
20210405,000000,76.4000000,76.7400000,75.9875000,76.3900000,1754043000
20210406,000000,76.3900000,77.3450000,76.1775000,77.2650000,3223114000
20210407,000000,77.2200000,78.0450000,76.8325000,76.9800000,4567864000
20210408,000000,76.9600000,77.3900000,76.6200000,76.8550000,2953998000
20210409,000000,76.8875000,77.4800000,76.8475000,77.3950000,2712844000
20210412,000000,77.3950000,77.7575000,77.0675000,77.3850000,2524042000
20210413,000000,77.4400000,77.5750000,75.8125000,75.9400000,3619327000
20210414,000000,76.0475000,76.1150000,75.4525000,75.8700000,2931227000
20210415,000000,75.8700000,77.5475000,75.8225000,76.3250000,6489252000
20210416,000000,76.3500000,76.5100000,75.3150000,75.8175000,3918384000
20210419,000000,76.0000000,76.4400000,75.7725000,76.3500000,2665157000
20210420,000000,76.3350000,77.0700000,75.9325000,76.8300000,3328053000
20210421,000000,76.8675000,77.0700000,76.3325000,76.6000000,3082189000
20210422,000000,76.6700000,76.7850000,75.2350000,75.4175000,4295342000
20210423,000000,75.4175000,75.6000000,74.6500000,74.9800000,3400921000
20210426,000000,75.4475000,75.5000000,74.6300000,74.9700000,2192715000
20210427,000000,74.9775000,75.1700000,74.7825000,74.8900000,2098017000
20210428,000000,74.9150000,75.0025000,74.3400000,74.4125000,2517408000
20210429,000000,74.4000000,74.7400000,74.1900000,74.6350000,2499510000
20210430,000000,74.7400000,75.2475000,74.4525000,75.2100000,3004595000
20210504,000000,75.1675000,75.3625000,74.7000000,74.8425000,2215219000
20210505,000000,74.8225000,74.9975000,74.5825000,74.8600000,1661977000
20210506,000000,74.8400000,74.9000000,74.2000000,74.2300000,2187468000
20210507,000000,73.9625000,74.5500000,72.0025000,73.7850000,2764362000
20210510,000000,73.7850000,74.3575000,73.5125000,74.3500000,1031307000
20210511,000000,74.3050000,74.4250000,73.8200000,74.1100000,2343062000
20210512,000000,74.1100000,74.6700000,73.9200000,74.6300000,3063587000
20210513,000000,74.6500000,74.6500000,73.8075000,74.0775000,2709602000
20210514,000000,74.0775000,74.2475000,73.7200000,74.0125000,2288463000
20210517,000000,74.0000000,74.1350000,73.7100000,73.8000000,1952556000
20210518,000000,73.8800000,73.9450000,73.5400000,73.7000000,2197424000
20210519,000000,73.7025000,73.9000000,73.5275000,73.7900000,2780452000
20210520,000000,73.9000000,73.9400000,73.4450000,73.5300000,2271078000
20210521,000000,73.5725000,73.6975000,73.3600000,73.5975000,2721261000
20210524,000000,73.6000000,73.8575000,73.4150000,73.4925000,2853415000
20210525,000000,73.4925000,73.5950000,73.1950000,73.5000000,1988592000
20210526,000000,73.4450000,73.7200000,73.2625000,73.5100000,2548082000
20210527,000000,73.5100000,73.5975000,73.3200000,73.4650000,2379189000
20210528,000000,73.6000000,73.7100000,73.1500000,73.1500000,2632112000
20210531,000000,73.3450000,73.4900000,73.1000000,73.4300000,1467409000
20210601,000000,73.3975000,73.6900000,73.1100000,73.5075000,2468470000
20210602,000000,73.5075000,73.7450000,73.0900000,73.1600000,1975062000
20210603,000000,73.1600000,73.3475000,73.0200000,73.2400000,2082975000
20210604,000000,73.2400000,73.3900000,72.7625000,72.7950000,2253908000
20210607,000000,72.8200000,73.0575000,72.7500000,72.8100000,1517332000
20210608,000000,72.9500000,73.0275000,72.2700000,72.3000000,2317782000
20210609,000000,72.3650000,72.4300000,71.9825000,72.3050000,2379184000
20210610,000000,72.3050000,72.3300000,71.7000000,71.7700000,2818180000
20210611,000000,71.8000000,72.2600000,71.5500000,72.1300000,2866311000
20210614,000000,72.1300000,72.3775000,71.9875000,72.1025000,944539000
20210615,000000,72.0950000,72.3500000,71.7300000,72.1800000,3564859000
20210616,000000,72.1025000,72.7100000,71.6200000,72.5625000,3577425000
20210617,000000,72.7000000,72.7000000,72.0900000,72.3225000,3790208000
20210618,000000,72.3275000,72.8650000,72.0825000,72.8500000,3637792000
20210621,000000,72.9650000,73.3450000,72.7350000,73.1325000,3276950000
20210622,000000,73.1275000,73.3000000,72.8075000,72.8750000,2316638000
20210623,000000,72.9225000,72.9825000,72.3500000,72.6075000,2792615000
20210624,000000,72.5700000,72.6925000,72.1250000,72.3050000,2375306000
20210625,000000,72.2525000,72.3575000,72.0375000,72.2025000,1950711000
20210628,000000,72.2675000,72.3100000,72.0925000,72.1175000,1964693000
20210629,000000,72.1500000,72.8725000,72.1500000,72.7600000,2506493000
20210630,000000,72.7750000,73.2375000,72.6425000,73.1350000,3152743000
20210701,000000,73.2300000,73.5350000,72.8075000,73.4000000,2699046000
20210702,000000,73.3400000,73.8100000,73.1400000,73.2400000,2686565000
20210705,000000,73.2625000,73.6000000,73.2275000,73.4600000,1445859000
20210706,000000,73.4600000,74.8050000,73.1550000,74.4225000,3268461000
20210707,000000,74.4225000,74.9200000,73.9425000,74.7125000,3357622000
20210708,000000,74.7200000,75.3500000,74.6225000,74.7375000,2997890000
20210709,000000,74.7050000,74.8275000,74.1725000,74.3600000,2405209000
20210712,000000,74.2000000,74.8000000,74.2000000,74.4400000,1996548000
20210713,000000,74.4400000,74.4400000,73.8900000,74.2950000,3369065000
20210714,000000,74.3050000,74.3800000,73.9400000,74.0750000,2021801000
20210715,000000,74.1125000,74.4450000,74.0625000,74.3650000,2045352000
