<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210301,000000,11.5005000,11.5015000,11.4200000,11.4700000,39319000
20210302,000000,11.4829000,11.5300000,11.3634000,11.3945000,147223000
20210303,000000,11.3986000,11.4399000,11.3626000,11.4350000,54341000
20210304,000000,11.4300000,11.5500000,11.3310000,11.5080000,53323000
20210305,000000,11.5015000,11.5090000,11.3473000,11.3870000,504234000
20210309,000000,11.3011000,11.5899000,11.3011000,11.3480000,219813000
20210310,000000,11.3581000,11.3762000,11.3156000,11.3380000,60924000
20210311,000000,11.3200000,11.3891000,11.2900000,11.3230000,82430000
20210312,000000,11.3085000,11.3399000,11.2769000,11.2904000,121667000
20210315,000000,11.2680000,11.2824000,11.2046000,11.2200000,45528000
20210316,000000,11.2244000,11.2372000,11.1667000,11.2125000,78214000
20210317,000000,11.2299000,11.3936000,11.2272000,11.3640000,47544000
20210318,000000,11.3669000,11.4350000,11.3142000,11.4315000,30694000
20210319,000000,11.3931000,11.4341000,11.3300000,11.4005000,63755000
20210322,000000,11.3930000,11.5400000,11.3930000,11.5165000,35735000
20210323,000000,11.5324000,11.7171000,11.5300000,11.7100000,88714000
20210324,000000,11.6961000,11.7999000,11.6154000,11.7235000,51403000
20210325,000000,11.6961000,11.7061000,11.5900000,11.6300000,82100000
20210326,000000,11.6189000,11.6400000,11.5580000,11.5680000,42318000
20210329,000000,11.5820000,11.5947000,11.5059000,11.5160000,41919000
20210330,000000,11.5040000,11.5748000,11.4725000,11.5326000,313619000
20210331,000000,11.5500000,11.5589000,11.4721000,11.5400000,83939000
20210401,000000,11.5235000,11.6300000,11.4966000,11.6060000,57728000
20210402,000000,11.9399000,11.9399000,11.5001000,11.6400000,59982000
20210405,000000,11.3501000,11.9299000,11.3501000,11.6534000,39008000
20210406,000000,11.6479000,11.8181000,11.6320000,11.8020000,68282000
20210407,000000,11.7101000,11.9243000,11.7101000,11.7500000,113329000
20210408,000000,11.7485000,11.7992000,11.6871000,11.7235000,84963000
20210409,000000,11.7210000,11.8144000,11.7210000,11.7935000,248351000
20210412,000000,11.8324000,11.8548000,11.7721000,11.8120000,59422000
20210413,000000,11.7001000,11.8279000,11.5900000,11.6155000,61638000
20210414,000000,11.6094000,11.6350000,11.5356000,11.6080000,110753000
20210415,000000,11.6300000,11.8600000,11.6300000,11.7000000,112363000
20210416,000000,11.6711000,11.7149000,11.5494000,11.6110000,116939000
20210419,000000,11.9400000,11.9400000,11.6305000,11.7269000,69950000
20210420,000000,11.7395000,11.8538000,11.7000000,11.8145000,66245000
20210421,000000,11.8381000,11.8602000,11.7530000,11.7960000,66465000
20210422,000000,11.8080000,11.8380000,11.5975000,11.6160000,89695000
20210423,000000,11.6311000,11.6381000,11.5137000,11.5600000,112853000
20210426,000000,11.8449000,11.8449000,11.5141000,11.5900000,50334000
20210427,000000,11.5676000,11.5982000,11.5416000,11.5660000,50800000
20210428,000000,11.5624000,11.5709000,11.4900000,11.4950000,98493000
20210429,000000,11.4999000,11.5664000,11.4836000,11.5435000,109284000
20210430,000000,11.5899000,11.6310000,11.5001000,11.6200000,90272000
20210504,000000,11.5300000,11.6300000,11.5271000,11.5540000,31187000
20210505,000000,11.5286000,11.5525000,11.4992000,11.5415000,56009000
20210506,000000,11.5594000,11.5634000,11.4761000,11.4844000,83454000
20210507,000000,11.5029000,11.5242000,11.4600000,11.5015000,43374000
20210510,000000,11.4800000,11.5760000,11.4500000,11.5741000,7764000
