<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210506,000000,579.7900000,582.8500000,569.1600000,580.6100000,76349
20210507,000000,593.4500000,598.7000000,587.0300000,592.6100000,154529
20210510,000000,590.3000000,590.3000000,570.0200000,570.8400000,118143
20210511,000000,552.2000000,574.1900000,550.1200000,573.0800000,116027
20210512,000000,561.5900000,569.7300000,548.3700000,550.3000000,119625
20210513,000000,561.0000000,563.1500000,539.0300000,546.4700000,119684
20210514,000000,555.5300000,573.0500000,550.2700000,569.3400000,161072
20210517,000000,566.0000000,566.6700000,554.2100000,566.5700000,121133
20210518,000000,570.9350000,576.0800000,560.2100000,560.5300000,94053
20210519,000000,542.7100000,563.0500000,542.3600000,562.8100000,149634
20210520,000000,571.5000000,587.3300000,570.9700000,584.4100000,215160
20210521,000000,606.3100000,608.7200000,594.8500000,599.5800000,418792
20210524,000000,609.0200000,629.6400000,608.7400000,623.8800000,198705
20210525,000000,630.0500000,632.0000000,619.3500000,625.9300000,129008
20210526,000000,629.3500000,631.5900000,623.5500000,628.4000000,122444
20210527,000000,627.2500000,630.0000000,618.8900000,619.2100000,213124
20210528,000000,620.7300000,651.0300000,620.7300000,649.8100000,452914
20210601,000000,650.6100000,655.5000000,636.5100000,650.0700000,192188
20210602,000000,650.5600000,676.7000000,650.1200000,671.5000000,322265
20210603,000000,667.7100000,690.2200000,663.4700000,678.6700000,352467
20210604,000000,685.4000000,706.3900000,683.8800000,703.1900000,429373
20210607,000000,702.8400000,712.0800000,687.8700000,704.9600000,267556
20210608,000000,701.9200000,704.5900000,690.0600000,698.1500000,161021
20210609,000000,700.9600000,703.0000000,690.2600000,694.3100000,207724
20210610,000000,694.1200000,699.6700000,687.4200000,697.1400000,176284
20210611,000000,698.0400000,717.5300000,698.0400000,712.9800000,384106
20210614,000000,716.1900000,721.4500000,706.5600000,720.6900000,211969
20210615,000000,716.6800000,720.0400000,709.2300000,711.6600000,158649
20210616,000000,711.7000000,718.0500000,703.5000000,712.0200000,161476
20210617,000000,711.2400000,753.4000000,710.6800000,746.5900000,481882
20210618,000000,752.6000000,774.9800000,743.5400000,743.5500000,599081
20210621,000000,737.0000000,741.2700000,713.1000000,737.6500000,270775
20210622,000000,738.5700000,758.5400000,735.9000000,755.8700000,265082
20210623,000000,760.5500000,765.9400000,756.5600000,762.3500000,153203
20210624,000000,770.0000000,776.6800000,763.9600000,768.3900000,184923
20210625,000000,771.5100000,773.7100000,755.9800000,761.1200000,190665
20210628,000000,774.4900000,802.9100000,773.0500000,799.4500000,226603
20210629,000000,795.9300000,803.8000000,786.2900000,801.2500000,214525
20210630,000000,799.7000000,806.3400000,794.6500000,800.6400000,191783
20210701,000000,805.7200000,818.2000000,801.0000000,808.4800000,265392
20210702,000000,817.6100000,820.0600000,811.5800000,819.4900000,226841
20210706,000000,829.5000000,833.5000000,814.2100000,827.9600000,181323
20210707,000000,834.5900000,834.6500000,813.6300000,814.9000000,175102
20210708,000000,790.9150000,805.1500000,788.2200000,796.1100000,234921
20210709,000000,798.5000000,803.0400000,790.3500000,801.9100000,142369
20210712,000000,809.8700000,821.2200000,807.7000000,820.7100000,130385
20210713,000000,816.1600000,818.0000000,804.9000000,809.6500000,102836
20210714,000000,814.3400000,816.5800000,790.3400000,792.9500000,120470
20210715,000000,793.7600000,793.7600000,754.5500000,758.7700000,256152
20210716,000000,760.6100000,766.0000000,723.1000000,726.3900000,337180
20210719,000000,716.0400000,760.8000000,714.6200000,751.1500000,283961
20210720,000000,187.2700000,188.3400000,181.6600000,186.0600000,845229
20210721,000000,189.1200000,195.2700000,187.5500000,194.2300000,722839
20210722,000000,196.5000000,198.8000000,192.7700000,196.0000000,627814
20210723,000000,196.7800000,196.9000000,192.5300000,195.5300000,613350
20210726,000000,193.1100000,194.3800000,189.2400000,192.8900000,493307
20210727,000000,192.6400000,196.1800000,187.4500000,192.1100000,601484
20210728,000000,192.9800000,196.4100000,189.9500000,195.0300000,505389
20210729,000000,195.1800000,198.5200000,193.5400000,196.5600000,604355
20210730,000000,194.3400000,196.2100000,192.7700000,195.0500000,639546
20210802,000000,196.9400000,199.6000000,193.6200000,197.5200000,665143
20210803,000000,198.0000000,202.1700000,192.2500000,198.2600000,986992
20210804,000000,199.6700000,203.1600000,198.2800000,202.7600000,871421
20210805,000000,204.9200000,207.2700000,203.4900000,206.3700000,833899
20210806,000000,204.8100000,205.6550000,202.1200000,203.5900000,618775
20210809,000000,204.2200000,205.0600000,201.5000000,202.9600000,342256
20210810,000000,203.2300000,204.1300000,198.3700000,199.4100000,516190
20210811,000000,200.2500000,200.4100000,194.3100000,196.9700000,521934
20210812,000000,198.6400000,200.2500000,196.2500000,199.0000000,469516
20210813,000000,199.2200000,202.1100000,198.5400000,201.9500000,559890
20210816,000000,201.3500000,202.8300000,194.6300000,199.5700000,735309
20210817,000000,196.7500000,197.6200000,192.7000000,194.5800000,537783
20210818,000000,194.8800000,196.2800000,190.0000000,190.3500000,801849
20210819,000000,194.9500000,204.9300000,187.6300000,198.0800000,2275812
20210820,000000,200.0100000,208.6150000,199.4200000,208.2000000,2372697
20210823,000000,209.5500000,219.9600000,209.5000000,219.5500000,1534127
20210824,000000,217.7200000,219.5800000,215.3500000,217.8800000,908969
20210825,000000,217.2500000,224.6900000,217.2500000,222.0200000,1075808
20210826,000000,221.8700000,223.3900000,217.9600000,220.7100000,570672
20210827,000000,221.8900000,227.2200000,221.8500000,226.3500000,1122026
20210830,000000,228.1900000,230.4300000,225.5500000,226.8400000,796583
20210831,000000,226.8300000,226.8400000,221.2400000,223.7100000,785682
20210901,000000,224.8500000,226.9500000,223.6100000,224.3300000,687774
20210902,000000,224.9800000,225.8500000,222.9600000,223.9000000,617634
